question,answer,formatted_text,source
Bagaimana cara membuat paragraf pembuka esai yang menarik?,"Apa saja teknik untuk membuka esai? Paragraf pembuka esai berfungsi menarik perhatian pembaca dan menyampaikan tesis atau gagasan utama. Teknik yang umum digunakan antara lain anekdot, pertanyaan retoris, kutipan, atau fakta mengejutkan.","Pertanyaan: Bagaimana cara membuat paragraf pembuka esai yang menarik?
Jawaban: Apa saja teknik untuk membuka esai? Paragraf pembuka esai berfungsi menarik perhatian pembaca dan menyampaikan tesis atau gagasan utama. Teknik yang umum digunakan antara lain anekdot, pertanyaan retoris, kutipan, atau fakta mengejutkan.",Buku Siswa Bahasa Indonesia Kurikulum Merdeka - Kemdikbud (buku.kemdikbud.go.id)
Apa bedanya kohesi dan koherensi?,"Kenapa paragraf saya terasa lompat-lompat? Kohesi adalah keterkaitan antar kalimat dalam paragraf yang ditandai dengan penggunaan kata hubung seperti namun, oleh karena itu, selain itu. Koherensi adalah keterkaitan makna antar gagasan dalam teks.","Pertanyaan: Apa bedanya kohesi dan koherensi?
Jawaban: Kenapa paragraf saya terasa lompat-lompat? Kohesi adalah keterkaitan antar kalimat dalam paragraf yang ditandai dengan penggunaan kata hubung seperti namun, oleh karena itu, selain itu. Koherensi adalah keterkaitan makna antar gagasan dalam teks.",Buku Siswa Bahasa Indonesia Kurikulum Merdeka - Kemdikbud (buku.kemdikbud.go.id)
Apa itu esai argumentatif?,"Bagaimana struktur esai argumentatif yang benar? Esai argumentatif bertujuan meyakinkan pembaca dengan menyajikan argumen yang didukung data, fakta, atau contoh konkret. Strukturnya terdiri dari pendahuluan berisi tesis, tubuh argumen, dan kesimpulan.","Pertanyaan: Apa itu esai argumentatif?
Jawaban: Bagaimana struktur esai argumentatif yang benar? Esai argumentatif bertujuan meyakinkan pembaca dengan menyajikan argumen yang didukung data, fakta, atau contoh konkret. Strukturnya terdiri dari pendahuluan berisi tesis, tubuh argumen, dan kesimpulan.",Buku Siswa Bahasa Indonesia Kurikulum Merdeka - Kemdikbud (buku.kemdikbud.go.id)
Apa itu teks eksposisi?,"Bagaimana struktur teks eksposisi? Teks eksposisi bertujuan menjelaskan atau memaparkan suatu informasi secara objektif. Strukturnya terdiri dari tesis, argumentasi, dan penegasan ulang.","Pertanyaan: Apa itu teks eksposisi?
Jawaban: Bagaimana struktur teks eksposisi? Teks eksposisi bertujuan menjelaskan atau memaparkan suatu informasi secara objektif. Strukturnya terdiri dari tesis, argumentasi, dan penegasan ulang.",Buku Siswa Bahasa Indonesia Kurikulum Merdeka - Kemdikbud (buku.kemdikbud.go.id)
Bagaimana cara menemukan ide pokok dalam paragraf?,"Di mana biasanya letak kalimat utama? Ide pokok paragraf dapat ditemukan dengan membaca kalimat pertama dan terakhir paragraf, karena umumnya ide pokok terletak pada kalimat utama atau kalimat topik.","Pertanyaan: Bagaimana cara menemukan ide pokok dalam paragraf?
Jawaban: Di mana biasanya letak kalimat utama? Ide pokok paragraf dapat ditemukan dengan membaca kalimat pertama dan terakhir paragraf, karena umumnya ide pokok terletak pada kalimat utama atau kalimat topik.",Buku Siswa Bahasa Indonesia Kurikulum Merdeka - Kemdikbud (buku.kemdikbud.go.id)
Apakah gelar seperti prof dan dr harus huruf kapital?,"Kenapa nama Prof. Budi harus diawali huruf besar? Huruf kapital dipakai sebagai huruf pertama nama orang, termasuk julukan, serta gelar kehormatan, keturunan, dan keagamaan yang diikuti nama orang.","Pertanyaan: Apakah gelar seperti prof dan dr harus huruf kapital?
Jawaban: Kenapa nama Prof. Budi harus diawali huruf besar? Huruf kapital dipakai sebagai huruf pertama nama orang, termasuk julukan, serta gelar kehormatan, keturunan, dan keagamaan yang diikuti nama orang.
Contoh Kesalahan: saya membaca buku karya prof. budi.
Contoh Perbaikan: Saya membaca buku karya Prof. Budi.",EYD V - Badan Bahasa Kemendikbudristek (ejaan.kemendikdasmen.go.id)
Kapan kata presiden ditulis dengan huruf kapital?,"Kenapa kadang presiden huruf besar kadang huruf kecil? Huruf kapital dipakai sebagai huruf pertama nama jabatan dan pangkat yang diikuti nama orang atau yang dipakai sebagai pengganti nama orang tertentu, nama instansi, atau nama tempat. Jika tidak diikuti nama orang atau tempat, huruf kapital tidak digunakan.","Pertanyaan: Kapan kata presiden ditulis dengan huruf kapital?
Jawaban: Kenapa kadang presiden huruf besar kadang huruf kecil? Huruf kapital dipakai sebagai huruf pertama nama jabatan dan pangkat yang diikuti nama orang atau yang dipakai sebagai pengganti nama orang tertentu, nama instansi, atau nama tempat. Jika tidak diikuti nama orang atau tempat, huruf kapital tidak digunakan.
Contoh Kesalahan: presiden joko widodo meresmikan gedung baru. para presiden menghadiri acara itu.
Contoh Perbaikan: Presiden Joko Widodo meresmikan gedung baru. Para presiden menghadiri acara itu.",EYD V - Badan Bahasa Kemendikbudristek (ejaan.kemendikdasmen.go.id)
Apakah nama sungai dan gunung pakai huruf kapital?,"Kenapa kata geologi tidak pakai huruf besar? Huruf kapital dipakai sebagai huruf pertama nama geografi seperti nama negara, kota, sungai, gunung, dan pulau. Huruf kapital tidak dipakai untuk nama geografi yang digunakan sebagai bentuk dasar kata turunan dengan makna umum.","Pertanyaan: Apakah nama sungai dan gunung pakai huruf kapital?
Jawaban: Kenapa kata geologi tidak pakai huruf besar? Huruf kapital dipakai sebagai huruf pertama nama geografi seperti nama negara, kota, sungai, gunung, dan pulau. Huruf kapital tidak dipakai untuk nama geografi yang digunakan sebagai bentuk dasar kata turunan dengan makna umum.
Contoh Kesalahan: dia menyeberangi sungai Musi setelah belajar Geologi.
Contoh Perbaikan: Dia menyeberangi Sungai Musi setelah belajar geologi.",EYD V - Badan Bahasa Kemendikbudristek (ejaan.kemendikdasmen.go.id)
Apakah penulisan ber jalan itu benar?,"Bagaimana cara menulis kata berimbuhan yang benar? Imbuhan (awalan, sisipan, akhiran, dan gabungan) ditulis serangkai dengan kata dasarnya. Contoh berjalan, kemauan, gemetar, mempertanggungjawabkan.","Pertanyaan: Apakah penulisan ber jalan itu benar?
Jawaban: Bagaimana cara menulis kata berimbuhan yang benar? Imbuhan (awalan, sisipan, akhiran, dan gabungan) ditulis serangkai dengan kata dasarnya. Contoh berjalan, kemauan, gemetar, mempertanggungjawabkan.
Contoh Kesalahan: ber jalan, mem buka, ke mauan
Contoh Perbaikan: berjalan, membuka, kemauan",EYD V - Badan Bahasa Kemendikbudristek (ejaan.kemendikdasmen.go.id)
Apakah kerja sama ditulis terpisah atau digabung?,"Bagaimana aturan penulisan kata majemuk? Gabungan kata atau kata majemuk, termasuk istilah khusus, unsur-unsurnya ditulis terpisah. Jika salah satu unsur hanya dipakai dalam kombinasi atau gabungan itu dapat menimbulkan salah baca, kata ditulis serangkai atau dengan tanda hubung.","Pertanyaan: Apakah kerja sama ditulis terpisah atau digabung?
Jawaban: Bagaimana aturan penulisan kata majemuk? Gabungan kata atau kata majemuk, termasuk istilah khusus, unsur-unsurnya ditulis terpisah. Jika salah satu unsur hanya dipakai dalam kombinasi atau gabungan itu dapat menimbulkan salah baca, kata ditulis serangkai atau dengan tanda hubung.
Contoh Kesalahan: dutabesar, tanggungjawab, kerjasama, matapelajaran
Contoh Perbaikan: duta besar, tanggung jawab, kerja sama, mata pelajaran",EYD V - Badan Bahasa Kemendikbudristek (ejaan.kemendikdasmen.go.id)
