question,answer,formatted_text
Bagaimana cara membuat paragraf pembuka esai yang menarik?,"Teknik yang umum digunakan antara lain anekdot, pertanyaan retoris, kutipan, atau fakta mengejutkan.","P: Bagaimana cara membuat paragraf pembuka esai yang menarik?
J: Teknik yang umum digunakan antara lain anekdot, pertanyaan retoris, kutipan, atau fakta mengejutkan."
Apa bedanya kohesi dan koherensi?,Koherensi adalah keterkaitan makna antar gagasan dalam teks.,"P: Apa bedanya kohesi dan koherensi?
J: Koherensi adalah keterkaitan makna antar gagasan dalam teks."
Apa itu esai argumentatif?,"Strukturnya terdiri dari pendahuluan berisi tesis, tubuh argumen, dan kesimpulan.","P: Apa itu esai argumentatif?
J: Strukturnya terdiri dari pendahuluan berisi tesis, tubuh argumen, dan kesimpulan."
Apa itu teks eksposisi?,"Strukturnya terdiri dari tesis, argumentasi, dan penegasan ulang.","P: Apa itu teks eksposisi?
J: Strukturnya terdiri dari tesis, argumentasi, dan penegasan ulang."
Bagaimana cara menemukan ide pokok dalam paragraf?,,"P: Bagaimana cara menemukan ide pokok dalam paragraf?
J: "
Apakah gelar seperti prof dan dr harus huruf kapital?,"Kenapa nama Prof. Budi harus diawali huruf besar? Huruf kapital dipakai sebagai huruf pertama nama orang, termasuk julukan, serta gelar kehormatan, keturunan, dan keagamaan yang diikuti nama orang.","P: Apakah gelar seperti prof dan dr harus huruf kapital?
J: Kenapa nama Prof. Budi harus diawali huruf besar? Huruf kapital dipakai sebagai huruf pertama nama orang, termasuk julukan, serta gelar kehormatan, keturunan, dan keagamaan yang diikuti nama orang."
Kapan kata presiden ditulis dengan huruf kapital?,"Jika tidak diikuti nama orang atau tempat, huruf kapital tidak digunakan.","P: Kapan kata presiden ditulis dengan huruf kapital?
J: Jika tidak diikuti nama orang atau tempat, huruf kapital tidak digunakan."
Apakah nama sungai dan gunung pakai huruf kapital?,Huruf kapital tidak dipakai untuk nama geografi yang digunakan sebagai bentuk dasar kata turunan dengan makna umum.,"P: Apakah nama sungai dan gunung pakai huruf kapital?
J: Huruf kapital tidak dipakai untuk nama geografi yang digunakan sebagai bentuk dasar kata turunan dengan makna umum."
Apakah penulisan ber jalan itu benar?,"Contoh berjalan, kemauan, gemetar, mempertanggungjawabkan.","P: Apakah penulisan ber jalan itu benar?
J: Contoh berjalan, kemauan, gemetar, mempertanggungjawabkan."
Apakah kerja sama ditulis terpisah atau digabung?,"Jika salah satu unsur hanya dipakai dalam kombinasi atau gabungan itu dapat menimbulkan salah baca, kata ditulis serangkai atau dengan tanda hubung.","P: Apakah kerja sama ditulis terpisah atau digabung?
J: Jika salah satu unsur hanya dipakai dalam kombinasi atau gabungan itu dapat menimbulkan salah baca, kata ditulis serangkai atau dengan tanda hubung."
Kapan di ditulis terpisah dan kapan digabung?,Awalan di- dan ke- pada kata kerja ditulis serangkai.,"P: Kapan di ditulis terpisah dan kapan digabung?
J: Awalan di- dan ke- pada kata kerja ditulis serangkai."
Apakah walaupun ditulis terpisah atau digabung?,"Partikel per yang berarti mulai, demi, atau tiap ditulis terpisah.","P: Apakah walaupun ditulis terpisah atau digabung?
J: Partikel per yang berarti mulai, demi, atau tiap ditulis terpisah."
Bagaimana cara menulis kata serapan dari bahasa Inggris?,Unsur yang belum sepenuhnya terserap ditulis dengan huruf miring sesuai bahasa aslinya.,"P: Bagaimana cara menulis kata serapan dari bahasa Inggris?
J: Unsur yang belum sepenuhnya terserap ditulis dengan huruf miring sesuai bahasa aslinya."
Apakah PT pakai titik?,"Tanda titik tidak dipakai pada singkatan yang terdiri atas huruf awal kata yang ditulis dengan huruf kapital seperti PT, SMA, dan WHO.","P: Apakah PT pakai titik?
J: Tanda titik tidak dipakai pada singkatan yang terdiri atas huruf awal kata yang ditulis dengan huruf kapital seperti PT, SMA, dan WHO."
Kapan harus pakai tanda koma sebelum kata karena?,Tanda koma tidak dipakai jika anak kalimat mengiringi induk kalimat.,"P: Kapan harus pakai tanda koma sebelum kata karena?
J: Tanda koma tidak dipakai jika anak kalimat mengiringi induk kalimat."
Apakah anak anak harus pakai tanda hubung?,,"P: Apakah anak anak harus pakai tanda hubung?
J: "
Bagaimana cara menulis kutipan langsung yang benar?,Tanda baca penutup kalimat yang mengakhiri petikan langsung diletakkan di dalam tanda petik penutup.,"P: Bagaimana cara menulis kutipan langsung yang benar?
J: Tanda baca penutup kalimat yang mengakhiri petikan langsung diletakkan di dalam tanda petik penutup."
What is a topic sentence?,,"P: What is a topic sentence?
J: "
What are transition words and how do I use them?,,"P: What are transition words and how do I use them?
J: "
What is the five-paragraph essay structure?,,"P: What is the five-paragraph essay structure?
J: "
What is an argumentative essay?,,"P: What is an argumentative essay?
J: "
What is subject-verb agreement?,"A singular subject takes a singular verb, and a plural subject takes a plural verb.","P: What is subject-verb agreement?
J: A singular subject takes a singular verb, and a plural subject takes a plural verb."
What tense should I use for a narrative essay?,,"P: What tense should I use for a narrative essay?
J: "
What words should I avoid in a formal essay?,"Words like a lot, kids, and gonna should be replaced with formal alternatives such as many, children, and going to.","P: What words should I avoid in a formal essay?
J: Words like a lot, kids, and gonna should be replaced with formal alternatives such as many, children, and going to."
Bagaimana cara membuat outline esai yang baik?,Kerangka membantu memastikan setiap paragraf memiliki satu gagasan utama yang jelas dan saling berkaitan dengan paragraf lainnya.,"P: Bagaimana cara membuat outline esai yang baik?
J: Kerangka membantu memastikan setiap paragraf memiliki satu gagasan utama yang jelas dan saling berkaitan dengan paragraf lainnya."
Bagaimana cara merevisi esai dengan baik?,,"P: Bagaimana cara merevisi esai dengan baik?
J: "
Bagaimana membuat kalimat lebih efektif?,Hindari pengulangan kata yang tidak perlu serta penggunaan kata-kata mubazir seperti adalah merupakan atau di mana yang sering dipakai berlebihan dalam tulisan siswa.,"P: Bagaimana membuat kalimat lebih efektif?
J: Hindari pengulangan kata yang tidak perlu serta penggunaan kata-kata mubazir seperti adalah merupakan atau di mana yang sering dipakai berlebihan dalam tulisan siswa."
Bagaimana membuat argumen esai lebih kuat?,Penulis disarankan mencari sumber yang relevan dan menyebutkan fakta pendukung agar pembaca lebih mudah percaya pada argumen yang disampaikan.,"P: Bagaimana membuat argumen esai lebih kuat?
J: Penulis disarankan mencari sumber yang relevan dan menyebutkan fakta pendukung agar pembaca lebih mudah percaya pada argumen yang disampaikan."
Bagaimana cara mengecek apakah tulisan saya enak dibaca?,"Tips mengedit tulisan sendiri Salah satu teknik yang disarankan untuk mengecek kelancaran tulisan adalah membaca ulang esai dengan suara keras. Jika ada bagian yang terasa janggal atau sulit diucapkan saat dibaca, kemungkinan kalimat tersebut perlu diperbaiki strukturnya.","P: Bagaimana cara mengecek apakah tulisan saya enak dibaca?
J: Tips mengedit tulisan sendiri Salah satu teknik yang disarankan untuk mengecek kelancaran tulisan adalah membaca ulang esai dengan suara keras. Jika ada bagian yang terasa janggal atau sulit diucapkan saat dibaca, kemungkinan kalimat tersebut perlu diperbaiki strukturnya."
